Code, FullName, CodeName, 
498, Benzo(b)fluorantheen in mg/kg drooggewicht in zwevende stof                                                               , 498%7CBenzo%28b%29fluorantheen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                          , 
267, Benzo(b)fluorantheen in ug/l in oppervlaktewater                                                                          , 267%7CBenzo%28b%29fluorantheen+in+ug%2Fl+in+oppervlaktewater                                                                                     , 
2217, Benzo(e)pyreen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                   , 2217%7CBenzo%28e%29pyreen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                         , 
617, Benzo(e)pyreen in mg/kg drooggewicht in zwevende stof                                                                     , 617%7CBenzo%28e%29pyreen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                , 
2218, Benzo(g,h,i)peryleen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                             , 2218%7CBenzo%28g%2Ch%2Ci%29peryleen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                               , 
444, Benzo(g,h,i)peryleen in mg/kg drooggewicht in bodem/sediment                                                              , 444%7CBenzo%28g%2Ch%2Ci%29peryleen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                   , 
499, Benzo(g,h,i)peryleen in mg/kg drooggewicht in zwevende stof                                                               , 499%7CBenzo%28g%2Ch%2Ci%29peryleen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                      , 
274, Benzo(g,h,i)peryleen in ug/l in oppervlaktewater                                                                          , 274%7CBenzo%28g%2Ch%2Ci%29peryleen+in+ug%2Fl+in+oppervlaktewater                                                                                 , 
8368, Benzo(g,h,i)peryleen in ug/l opgelost in oppervlaktewater                                                                 , 8368%7CBenzo%28g%2Ch%2Ci%29peryleen+in+ug%2Fl+opgelost+in+oppervlaktewater                                                                       , 
2219, Benzo(k)fluorantheen in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                             , 2219%7CBenzo%28k%29fluorantheen+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                   , 
446, Benzo(k)fluorantheen in mg/kg drooggewicht in bodem/sediment                                                              , 446%7CBenzo%28k%29fluorantheen+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                       , 
500, Benzo(k)fluorantheen in mg/kg drooggewicht in zwevende stof                                                               , 500%7CBenzo%28k%29fluorantheen+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                          , 
275, Benzo(k)fluorantheen in ug/l in oppervlaktewater                                                                          , 275%7CBenzo%28k%29fluorantheen+in+ug%2Fl+in+oppervlaktewater                                                                                     , 
2837, Benzofenon in ug/l in oppervlaktewater                                                                                    , 2837%7CBenzofenon+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
276, Benzonitril in ug/l in oppervlaktewater                                                                                   , 276%7CBenzonitril+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
8038, Beryllium 7 in Bq/kg diameter < 63 um drooggewicht in bodem/sediment                                                      , 8038%7CBeryllium+7+in+Bq%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                , 
7622, Beryllium 7 in Bq/kg drooggewicht in zwevende stof                                                                        , 7622%7CBeryllium+7+in+Bq%2Fkg+drooggewicht+in+zwevende+stof                                                                                      , 
6210, Beryllium 7 in mBq/l in oppervlaktewater                                                                                  , 6210%7CBeryllium+7+in+mBq%2Fl+in+oppervlaktewater                                                                                                , 
8416, Beryllium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                        , 8416%7CBeryllium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                  , 
853, Beryllium in mg/kg drooggewicht in bodem/sediment                                                                         , 853%7CBeryllium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                      , 
6742, Beryllium in mg/kg drooggewicht in zwevende stof                                                                          , 6742%7CBeryllium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                        , 
269, Beryllium in ug/l in oppervlaktewater                                                                                     , 269%7CBeryllium+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
270, Beryllium in ug/l na filtratie in oppervlaktewater                                                                        , 270%7CBeryllium+in+ug%2Fl+na+filtratie+in+oppervlaktewater                                                                                       , 
8034, Beta activiteit in Bq/kg diameter < 63 um drooggewicht in bodem/sediment                                                  , 8034%7CBeta+activiteit+in+Bq%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                            , 
7616, Beta activiteit in Bq/kg drooggewicht in bodem/sediment                                                                   , 7616%7CBeta+activiteit+in+Bq%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                               , 
619, Beta activiteit in Bq/kg drooggewicht in zwevende stof                                                                    , 619%7CBeta+activiteit+in+Bq%2Fkg+drooggewicht+in+zwevende+stof                                                                                   , 
273, Beta activiteit in mBq/l in oppervlaktewater                                                                              , 273%7CBeta+activiteit+in+mBq%2Fl+in+oppervlaktewater                                                                                             , 
524, Beta activiteit van kalium 40, berekend in mBq/l in oppervlaktewater                                                      , 524%7CBeta+activiteit+van+kalium+40%2C+berekend+in+mBq%2Fl+in+oppervlaktewater                                                                   , 
315, Beta activiteit van tritium in mBq/l in oppervlaktewater                                                                  , 315%7CBeta+activiteit+van+tritium+in+mBq%2Fl+in+oppervlaktewater                                                                                 , 
1112, Beta-endosulfan in ug/kg drooggewicht in zwevende stof                                                                    , 1112%7CBeta-endosulfan+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                                  , 
272, Beta-endosulfan in ug/l in oppervlaktewater                                                                               , 272%7CBeta-endosulfan+in+ug%2Fl+in+oppervlaktewater                                                                                              , 
620, Beta-hexachloorcyclohexaan in ug/kg drooggewicht in bodem/sediment                                                        , 620%7CBeta-hexachloorcyclohexaan+in+ug%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                     , 
621, Beta-hexachloorcyclohexaan in ug/kg drooggewicht in zwevende stof                                                         , 621%7CBeta-hexachloorcyclohexaan+in+ug%2Fkg+drooggewicht+in+zwevende+stof                                                                        , 
417, Beta-hexachloorcyclohexaan in ug/l in oppervlaktewater                                                                    , 417%7CBeta-hexachloorcyclohexaan+in+ug%2Fl+in+oppervlaktewater                                                                                   , 
318, Bicarbonaat in mg/l in oppervlaktewater                                                                                   , 318%7CBicarbonaat+in+mg%2Fl+in+oppervlaktewater                                                                                                  , 
5449, Bifenyl in ug/l in oppervlaktewater                                                                                       , 5449%7CBifenyl+in+ug%2Fl+in+oppervlaktewater                                                                                                     , 
522, Biochemisch zuurstofverbruik met allythio ureum in mg/l in oppervlaktewater                                               , 522%7CBiochemisch+zuurstofverbruik+met+allythio+ureum+in+mg%2Fl+in+oppervlaktewater                                                              , 
550, Biochemisch zuurstofverbruik over 5 dagen in mg/l in oppervlaktewater                                                     , 550%7CBiochemisch+zuurstofverbruik+over+5+dagen+in+mg%2Fl+in+oppervlaktewater                                                                    , 
5439, Bis(2-ethylhexyl)ftalaat (dehp) in ug/l in oppervlaktewater                                                               , 5439%7CBis%282-ethylhexyl%29ftalaat+%28dehp%29+in+ug%2Fl+in+oppervlaktewater                                                                     , 
268, Bis-chloorisopropylether in ug/l in oppervlaktewater                                                                      , 268%7CBis-chloorisopropylether+in+ug%2Fl+in+oppervlaktewater                                                                                     , 
5142, Bisfenol-a in ug/l in oppervlaktewater                                                                                    , 5142%7CBisfenol-a+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
6118, Bismut in mg/kg drooggewicht in zwevende stof                                                                             , 6118%7CBismut+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                           , 
8039, Bismuth 214 in Bq/kg diameter < 63 um drooggewicht in bodem/sediment                                                      , 8039%7CBismuth+214+in+Bq%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                , 
6513, Bismuth 214 in Bq/kg drooggewicht in zwevende stof                                                                        , 6513%7CBismuth+214+in+Bq%2Fkg+drooggewicht+in+zwevende+stof                                                                                      , 
3501, Bitertanol in ug/l in oppervlaktewater                                                                                    , 3501%7CBitertanol+in+ug%2Fl+in+oppervlaktewater                                                                                                  , 
5379, Boor in mg/kg drooggewicht in zwevende stof                                                                               , 5379%7CBoor+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                             , 
261, Boor in ug/l in oppervlaktewater                                                                                          , 261%7CBoor+in+ug%2Fl+in+oppervlaktewater                                                                                                         , 
262, Boor in ug/l na filtratie in oppervlaktewater                                                                             , 262%7CBoor+in+ug%2Fl+na+filtratie+in+oppervlaktewater                                                                                            , 
1003, Bromaat in ug/l uitgedrukt in bromaat in oppervlaktewater                                                                 , 1003%7CBromaat+in+ug%2Fl+uitgedrukt+in+bromaat+in+oppervlaktewater                                                                               , 
2966, Bromacil in ug/l in oppervlaktewater                                                                                      , 2966%7CBromacil+in+ug%2Fl+in+oppervlaktewater                                                                                                    , 
549, Bromide in mg/l in oppervlaktewater                                                                                       , 549%7CBromide+in+mg%2Fl+in+oppervlaktewater                                                                                                      , 
3164, Butanon-2 (mek) in ug/l in oppervlaktewater                                                                               , 3164%7CButanon-2+%28mek%29+in+ug%2Fl+in+oppervlaktewater                                                                                         , 
2162, Butocarboxim in ug/l in oppervlaktewater                                                                                  , 2162%7CButocarboxim+in+ug%2Fl+in+oppervlaktewater                                                                                                , 
2193, Cadmium in mg/kg diameter < 63 um drooggewicht in bodem/sediment                                                          , 2193%7CCadmium+in+mg%2Fkg+diameter+%3C+63+um+drooggewicht+in+bodem%2Fsediment                                                                    , 
448, Cadmium in mg/kg drooggewicht in bodem/sediment                                                                           , 448%7CCadmium+in+mg%2Fkg+drooggewicht+in+bodem%2Fsediment                                                                                        , 
501, Cadmium in mg/kg drooggewicht in zwevende stof                                                                            , 501%7CCadmium+in+mg%2Fkg+drooggewicht+in+zwevende+stof                                                                                           , 
279, Cadmium in ug/l in oppervlaktewater                                                                                       , 279%7CCadmium+in+ug%2Fl+in+oppervlaktewater                                                                                                      , 
280, Cadmium in ug/l na filtratie in oppervlaktewater                                                                          , 280%7CCadmium+in+ug%2Fl+na+filtratie+in+oppervlaktewater                                                                                         , 
1023, Cadmium in ug/l particulair gebonden in oppervlaktewater                                                                  , 1023%7CCadmium+in+ug%2Fl+particulair+gebonden+in+oppervlaktewater                                                                                , 
