CHANGE_ID,REPORT_DATE,DATE_CLOSED,REPORTER,REQUEST,TABLES_AFFECTED,CODES_AFFECTED,COMMENT,ACTION
2019082,1-11-2019,24-7-2020,IOGP,Add Chile transformations,,,NaN,"Added transformations 9339-50. For transformations 6949-51, 6968, 6970, 7448 and 7449, amended name [added 2002] and changed target CRS code from 9184 to 5360, reversing change made in request 2019.021. Deprecated datum 1254, CRSs 9182-84 and transformation 5375."
2019083,4-11-2019,11-11-2019,IOGP,Add axis alias for WKT,,,NaN,"Added naming system 1048. For axis names 9901 and 9902, added alias for WKT strings."
2019089,12-11-2019,16-1-2020,IOGP,Add ISO reference to Canada data,,,NaN,"For transformations 9235-44 and 9246-47, added ISO references."
2019094,20-12-2019,16-1-2020,IOGP,Amend US vertical offset method name,,9658,NaN,"For method 9658, amended name and added previous name as alias."
2019099,20-12-2019,16-1-2020,IOGP,Correct names in datum remarks.,,,NaN,"For datum 1173, in remarks added GPS realization to WGS 84. For datum 6619, in remarks removed spaces in ITRS97 and ETRS89."
2020001,9-1-2020,16-1-2020,IOGP,Remove non-ASCII characters from P6 format names,,,NaN,"For CRSs 5818 and 5859 and transformations 6918-19, removed degree symbol, parentheses and square brackets from name and scope. For area 4205, removed square brackets from name. For methods 1049 and 9666, amended name. For CSs 1033-34, amended name and axis orientation."
2020014,2-2-2020,30-3-2020,IOGP,Correct area anomolies,,,NaN,"For Argentina: added areas 4577-79; for CRSs 22192-94, changed area code from 1609, 1610 and 1611 to 4577, 4578 and 4579 respectively."
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,, amended polygon and bounding box. ,,,,,
,,,,,,,,
,,, amended polygon; for areas 1206, 1272,,,2345, 3303 and 4527-28
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,, 3989 and 4695-97; ,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,, transformation 4840.,,,,,
,,,,,,,,
,,, CRSs 2318, 4204,,,8841, 9331-33
,,,,,,,,
,,, 2395-96, 4163-64,,,,
2020025,14-3-2020,30-3-2020,IOGP,Harmonise UK CRS and transformation names,,,NaN,"For transformations 7711-13, 10021 and 10029, transposed name and alias to correspond with name and alias of target CRS; for 7711 and 10021 also removed remarks and ETRF alias. For transformation 4651, amended name and added previous name as alias. For CRS 7405, amended alias. For datums 5145 and 5147 and CRSs 5747 and 5749, in name changed 'St' to 'St.' to correspond with EPSG convention. For transformation 1314, amended remarks."
